technique_id,technique_name,tactic,tactic_title
T1064,Scripting,execution,Execution
T1612,Build Image on Host,defense-evasion,Defense Evasion
T1051,Shared Webroot,lateral-movement,Lateral Movement
T1055.002,Portable Executable Injection,defense-evasion,Defense Evasion
T1055.002,Portable Executable Injection,privilege-escalation,Privilege Escalation
T1218.012,Verclsid,defense-evasion,Defense Evasion
T1586,Compromise Accounts,resource-development,Resource Development
T1059.008,Network Device CLI,execution,Execution
T1552.003,Shell History,credential-access,Credential Access
T1562.010,Downgrade Attack,defense-evasion,Defense Evasion
T1559.003,XPC Services,execution,Execution
T1497,Virtualization/Sandbox Evasion,defense-evasion,Defense Evasion
T1497,Virtualization/Sandbox Evasion,discovery,Discovery
T1102,Web Service,command-and-control,Command And Control
T1552.001,Credentials In Files,credential-access,Credential Access
T1568.003,DNS Calculation,command-and-control,Command And Control
T1218.005,Mshta,defense-evasion,Defense Evasion
T1547.015,Login Items,persistence,Persistence
T1547.015,Login Items,privilege-escalation,Privilege Escalation
T1608,Stage Capabilities,resource-development,Resource Development
T1608.005,Link Target,resource-development,Resource Development
T1104,Multi-Stage Channels,command-and-control,Command And Control
T1657,Financial Theft,impact,Impact
T1480,Execution Guardrails,defense-evasion,Defense Evasion
T1619,Cloud Storage Object Discovery,discovery,Discovery
T1606.001,Web Cookies,credential-access,Credential Access
T1654,Log Enumeration,discovery,Discovery
T1134.001,Token Impersonation/Theft,defense-evasion,Defense Evasion
T1134.001,Token Impersonation/Theft,privilege-escalation,Privilege Escalation
T1567.001,Exfiltration to Code Repository,exfiltration,Exfiltration
T1021.007,Cloud Services,lateral-movement,Lateral Movement
T1205.001,Port Knocking,defense-evasion,Defense Evasion
T1205.001,Port Knocking,persistence,Persistence
T1205.001,Port Knocking,command-and-control,Command And Control
T1027.012,LNK Icon Smuggling,defense-evasion,Defense Evasion
T1583.006,Web Services,resource-development,Resource Development
T1528,Steal Application Access Token,credential-access,Credential Access
T1598.002,Spearphishing Attachment,reconnaissance,Reconnaissance
T1098.001,Additional Cloud Credentials,persistence,Persistence
T1098.001,Additional Cloud Credentials,privilege-escalation,Privilege Escalation
T1204,User Execution,execution,Execution
T1491.001,Internal Defacement,impact,Impact
T1564.002,Hidden Users,defense-evasion,Defense Evasion
T1134.003,Make and Impersonate Token,defense-evasion,Defense Evasion
T1134.003,Make and Impersonate Token,privilege-escalation,Privilege Escalation
T1552.006,Group Policy Preferences,credential-access,Credential Access
T1196,Control Panel Items,defense-evasion,Defense Evasion
T1196,Control Panel Items,execution,Execution
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,Exfiltration
T1087.004,Cloud Account,discovery,Discovery
T1057,Process Discovery,discovery,Discovery
T1562.003,Impair Command History Logging,defense-evasion,Defense Evasion
T1053.004,Launchd,execution,Execution
T1053.004,Launchd,persistence,Persistence
T1053.004,Launchd,privilege-escalation,Privilege Escalation
T1556.008,Network Provider DLL,credential-access,Credential Access
T1556.008,Network Provider DLL,defense-evasion,Defense Evasion
T1556.008,Network Provider DLL,persistence,Persistence
T1546.003,Windows Management Instrumentation Event Subscription,privilege-escalation,Privilege Escalation
T1546.003,Windows Management Instrumentation Event Subscription,persistence,Persistence
T1596.004,CDNs,reconnaissance,Reconnaissance
T1497.002,User Activity Based Checks,defense-evasion,Defense Evasion
T1497.002,User Activity Based Checks,discovery,Discovery
T1141,Input Prompt,credential-access,Credential Access
T1496.004,Cloud Service Hijacking,impact,Impact
T1072,Software Deployment Tools,execution,Execution
T1072,Software Deployment Tools,lateral-movement,Lateral Movement
T1041,Exfiltration Over C2 Channel,exfiltration,Exfiltration
T1134.004,Parent PID Spoofing,defense-evasion,Defense Evasion
T1134.004,Parent PID Spoofing,privilege-escalation,Privilege Escalation
T1591,Gather Victim Org Information,reconnaissance,Reconnaissance
T1060,Registry Run Keys / Startup Folder,persistence,Persistence
T1606,Forge Web Credentials,credential-access,Credential Access
T1621,Multi-Factor Authentication Request Generation,credential-access,Credential Access
T1554,Compromise Host Software Binary,persistence,Persistence
T1552.008,Chat Messages,credential-access,Credential Access
T1059.001,PowerShell,execution,Execution
T1546.001,Change Default File Association,privilege-escalation,Privilege Escalation
T1055.014,VDSO Hijacking,defense-evasion,Defense Evasion
T1055.014,VDSO Hijacking,privilege-escalation,Privilege Escalation
T1026,Multiband Communication,command-and-control,Command And Control
T1071.002,File Transfer Protocols,command-and-control,Command And Control
T1679,Selective Exclusion,defense-evasion,Defense Evasion
T1122,Component Object Model Hijacking,defense-evasion,Defense Evasion
T1122,Component Object Model Hijacking,persistence,Persistence
T1212,Exploitation for Credential Access,credential-access,Credential Access
T1546.014,Emond,privilege-escalation,Privilege Escalation
T1546.014,Emond,persistence,Persistence
T1102.003,One-Way Communication,command-and-control,Command And Control
T1590,Gather Victim Network Information,reconnaissance,Reconnaissance
T1210,Exploitation of Remote Services,lateral-movement,Lateral Movement
T1534,Internal Spearphishing,lateral-movement,Lateral Movement
T1169,Sudo,privilege-escalation,Privilege Escalation
T1574.010,Services File Permissions Weakness,persistence,Persistence
T1574.010,Services File Permissions Weakness,privilege-escalation,Privilege Escalation
T1574.010,Services File Permissions Weakness,defense-evasion,Defense Evasion
T1547.001,Registry Run Keys / Startup Folder,privilege-escalation,Privilege Escalation
T1199,Trusted Relationship,initial-access,Initial Access
T1136.003,Cloud Account,persistence,Persistence
T1069.001,Local Groups,discovery,Discovery
T1149,LC_MAIN Hijacking,defense-evasion,Defense Evasion
T1593,Search Open Websites/Domains,reconnaissance,Reconnaissance
T1562.013,Disable or Modify Network Device Firewall,defense-evasion,Defense Evasion
T1098,Account Manipulation,persistence,Persistence
T1098,Account Manipulation,privilege-escalation,Privilege Escalation
T1170,Mshta,execution,Execution
T1048,Exfiltration Over Alternative Protocol,exfiltration,Exfiltration
T1547.006,Kernel Modules and Extensions,privilege-escalation,Privilege Escalation
T1678,Delay Execution,defense-evasion,Defense Evasion
T1056.002,GUI Input Capture,collection,Collection
T1056.002,GUI Input Capture,credential-access,Credential Access
T1588.002,Tool,resource-development,Resource Development
T1052.001,Exfiltration over USB,exfiltration,Exfiltration
T1574.013,KernelCallbackTable,persistence,Persistence
T1574.013,KernelCallbackTable,privilege-escalation,Privilege Escalation
T1574.013,KernelCallbackTable,defense-evasion,Defense Evasion
T1597,Search Closed Sources,reconnaissance,Reconnaissance
T1053.006,Systemd Timers,execution,Execution
T1053.006,Systemd Timers,persistence,Persistence
T1053.006,Systemd Timers,privilege-escalation,Privilege Escalation
T1566,Phishing,initial-access,Initial Access
T1061,Graphical User Interface,execution,Execution
T1542.004,ROMMONkit,defense-evasion,Defense Evasion
T1542.004,ROMMONkit,persistence,Persistence
T1218.001,Compiled HTML File,defense-evasion,Defense Evasion
T1496.001,Compute Hijacking,impact,Impact
T1070.005,Network Share Connection Removal,defense-evasion,Defense Evasion
T1110,Brute Force,credential-access,Credential Access
T1059.004,Unix Shell,execution,Execution
T1137.003,Outlook Forms,persistence,Persistence
T1219.003,Remote Access Hardware,command-and-control,Command And Control
T1157,Dylib Hijacking,persistence,Persistence
T1157,Dylib Hijacking,privilege-escalation,Privilege Escalation
T1562.001,Disable or Modify Tools,defense-evasion,Defense Evasion
T1565,Data Manipulation,impact,Impact
T1559,Inter-Process Communication,execution,Execution
T1001,Data Obfuscation,command-and-control,Command And Control
T1039,Data from Network Shared Drive,collection,Collection
T1601,Modify System Image,defense-evasion,Defense Evasion
T1574,Hijack Execution Flow,persistence,Persistence
T1574,Hijack Execution Flow,privilege-escalation,Privilege Escalation
T1574,Hijack Execution Flow,defense-evasion,Defense Evasion
T1036.012,Browser Fingerprint,defense-evasion,Defense Evasion
T1059.011,Lua,execution,Execution
T1204.003,Malicious Image,execution,Execution
T1543.005,Container Service,persistence,Persistence
T1543.005,Container Service,privilege-escalation,Privilege Escalation
T1078,Valid Accounts,defense-evasion,Defense Evasion
T1078,Valid Accounts,persistence,Persistence
T1078,Valid Accounts,privilege-escalation,Privilege Escalation
T1078,Valid Accounts,initial-access,Initial Access
T1571,Non-Standard Port,command-and-control,Command And Control
T1073,DLL Side-Loading,defense-evasion,Defense Evasion
T1055.012,Process Hollowing,privilege-escalation,Privilege Escalation
T1068,Exploitation for Privilege Escalation,privilege-escalation,Privilege Escalation
T1564.009,Resource Forking,defense-evasion,Defense Evasion
T1531,Account Access Removal,impact,Impact
T1110.004,Credential Stuffing,credential-access,Credential Access
T1208,Kerberoasting,credential-access,Credential Access
T1027,Obfuscated Files or Information,defense-evasion,Defense Evasion
T1556.006,Multi-Factor Authentication,credential-access,Credential Access
T1556.006,Multi-Factor Authentication,defense-evasion,Defense Evasion
T1556.006,Multi-Factor Authentication,persistence,Persistence
T1114.002,Remote Email Collection,collection,Collection
T1505.004,IIS Components,persistence,Persistence
T1036.001,Invalid Code Signature,defense-evasion,Defense Evasion
T1564.006,Run Virtual Instance,defense-evasion,Defense Evasion
T1154,Trap,execution,Execution
T1027.014,Polymorphic Code,defense-evasion,Defense Evasion
T1201,Password Policy Discovery,discovery,Discovery
T1546,Event Triggered Execution,privilege-escalation,Privilege Escalation
T1546,Event Triggered Execution,persistence,Persistence
T1546.004,Unix Shell Configuration Modification,privilege-escalation,Privilege Escalation
T1546.004,Unix Shell Configuration Modification,persistence,Persistence
T1187,Forced Authentication,credential-access,Credential Access
T1134.005,SID-History Injection,defense-evasion,Defense Evasion
T1599,Network Boundary Bridging,defense-evasion,Defense Evasion
T1486,Data Encrypted for Impact,impact,Impact
T1488,Disk Content Wipe,impact,Impact
T1553,Subvert Trust Controls,defense-evasion,Defense Evasion
T1548.004,Elevated Execution with Prompt,defense-evasion,Defense Evasion
T1592.003,Firmware,reconnaissance,Reconnaissance
T1573,Encrypted Channel,command-and-control,Command And Control
T1547.002,Authentication Package,privilege-escalation,Privilege Escalation
T1002,Data Compressed,exfiltration,Exfiltration
T1567.003,Exfiltration to Text Storage Sites,exfiltration,Exfiltration
T1081,Credentials in Files,credential-access,Credential Access
T1592.002,Software,reconnaissance,Reconnaissance
T1128,Netsh Helper DLL,persistence,Persistence
T1056,Input Capture,collection,Collection
T1056,Input Capture,credential-access,Credential Access
T1566.004,Spearphishing Voice,initial-access,Initial Access
T1587.004,Exploits,resource-development,Resource Development
T1593.001,Social Media,reconnaissance,Reconnaissance
T1213.004,Customer Relationship Management Software,collection,Collection
T1546.015,Component Object Model Hijacking,privilege-escalation,Privilege Escalation
T1589.001,Credentials,reconnaissance,Reconnaissance
T1195.002,Compromise Software Supply Chain,initial-access,Initial Access
T1036.003,Rename Legitimate Utilities,defense-evasion,Defense Evasion
T1102.002,Bidirectional Communication,command-and-control,Command And Control
T1203,Exploitation for Client Execution,execution,Execution
T1595.003,Wordlist Scanning,reconnaissance,Reconnaissance
T1667,Email Bombing,impact,Impact
T1562.011,Spoof Security Alerting,defense-evasion,Defense Evasion
T1137.004,Outlook Home Page,persistence,Persistence
T1573.002,Asymmetric Cryptography,command-and-control,Command And Control
T1567.002,Exfiltration to Cloud Storage,exfiltration,Exfiltration
T1570,Lateral Tool Transfer,lateral-movement,Lateral Movement
T1574.009,Path Interception by Unquoted Path,persistence,Persistence
T1574.009,Path Interception by Unquoted Path,privilege-escalation,Privilege Escalation
T1574.009,Path Interception by Unquoted Path,defense-evasion,Defense Evasion
T1608.003,Install Digital Certificate,resource-development,Resource Development
T1168,Local Job Scheduling,persistence,Persistence
T1168,Local Job Scheduling,execution,Execution
T1166,Setuid and Setgid,persistence,Persistence
T1100,Web Shell,privilege-escalation,Privilege Escalation
T1614.001,System Language Discovery,discovery,Discovery
T1095,Non-Application Layer Protocol,command-and-control,Command And Control
T1075,Pass the Hash,lateral-movement,Lateral Movement
T1059.013,Container CLI/API,execution,Execution
T1027.003,Steganography,defense-evasion,Defense Evasion
T1671,Cloud Application Integration,persistence,Persistence
T1001.003,Protocol or Service Impersonation,command-and-control,Command And Control
T1012,Query Registry,discovery,Discovery
T1030,Data Transfer Size Limits,exfiltration,Exfiltration
T1028,Windows Remote Management,execution,Execution
T1550.004,Web Session Cookie,defense-evasion,Defense Evasion
T1550.004,Web Session Cookie,lateral-movement,Lateral Movement
T1078.002,Domain Accounts,defense-evasion,Defense Evasion
T1078.002,Domain Accounts,persistence,Persistence
T1078.002,Domain Accounts,privilege-escalation,Privilege Escalation
T1078.002,Domain Accounts,initial-access,Initial Access
T1034,Path Interception,persistence,Persistence
T1034,Path Interception,privilege-escalation,Privilege Escalation
T1546.018,Python Startup Hooks,persistence,Persistence
T1546.018,Python Startup Hooks,privilege-escalation,Privilege Escalation
T1553.004,Install Root Certificate,defense-evasion,Defense Evasion
T1037.003,Network Logon Script,persistence,Persistence
T1037.003,Network Logon Script,privilege-escalation,Privilege Escalation
T1499,Endpoint Denial of Service,impact,Impact
T1027.004,Compile After Delivery,defense-evasion,Defense Evasion
T1065,Uncommonly Used Port,command-and-control,Command And Control
T1614,System Location Discovery,discovery,Discovery
T1564.007,VBA Stomping,defense-evasion,Defense Evasion
T1197,BITS Jobs,defense-evasion,Defense Evasion
T1197,BITS Jobs,persistence,Persistence
T1127.001,MSBuild,defense-evasion,Defense Evasion
T1656,Impersonation,defense-evasion,Defense Evasion
T1578.005,Modify Cloud Compute Configurations,defense-evasion,Defense Evasion
T1557.002,ARP Cache Poisoning,credential-access,Credential Access
T1557.002,ARP Cache Poisoning,collection,Collection
T1562.008,Disable or Modify Cloud Logs,defense-evasion,Defense Evasion
T1493,Transmitted Data Manipulation,impact,Impact
T1127.002,ClickOnce,defense-evasion,Defense Evasion
T1059.006,Python,execution,Execution
T1070.010,Relocate Malware,defense-evasion,Defense Evasion
T1591.004,Identify Roles,reconnaissance,Reconnaissance
T1132,Data Encoding,command-and-control,Command And Control
T1598,Phishing for Information,reconnaissance,Reconnaissance
T1496,Resource Hijacking,impact,Impact
T1585,Establish Accounts,resource-development,Resource Development
T1588,Obtain Capabilities,resource-development,Resource Development
T1546.002,Screensaver,privilege-escalation,Privilege Escalation
T1556.009,Conditional Access Policies,credential-access,Credential Access
T1556.009,Conditional Access Policies,defense-evasion,Defense Evasion
T1556.009,Conditional Access Policies,persistence,Persistence
T1578.002,Create Cloud Instance,defense-evasion,Defense Evasion
T1555.006,Cloud Secrets Management Stores,credential-access,Credential Access
T1213.003,Code Repositories,collection,Collection
T1003.008,/etc/passwd and /etc/shadow,credential-access,Credential Access
T1543.001,Launch Agent,persistence,Persistence
T1543.001,Launch Agent,privilege-escalation,Privilege Escalation
T1569,System Services,execution,Execution
T1059.003,Windows Command Shell,execution,Execution
T1055.009,Proc Memory,defense-evasion,Defense Evasion
T1055.009,Proc Memory,privilege-escalation,Privilege Escalation
T1223,Compiled HTML File,execution,Execution
T1650,Acquire Access,resource-development,Resource Development
T1601.001,Patch System Image,defense-evasion,Defense Evasion
T1558.002,Silver Ticket,credential-access,Credential Access
T1213,Data from Information Repositories,collection,Collection
T1070.009,Clear Persistence,defense-evasion,Defense Evasion
T1059.012,Hypervisor CLI,execution,Execution
T1555.004,Windows Credential Manager,credential-access,Credential Access
T1036.010,Masquerade Account Name,defense-evasion,Defense Evasion
T1194,Spearphishing via Service,initial-access,Initial Access
T1200,Hardware Additions,initial-access,Initial Access
T1219.002,Remote Desktop Software,command-and-control,Command And Control
T1505,Server Software Component,persistence,Persistence
T1485,Data Destruction,impact,Impact
T1132.002,Non-Standard Encoding,command-and-control,Command And Control
T1556.001,Domain Controller Authentication,credential-access,Credential Access
T1556.001,Domain Controller Authentication,defense-evasion,Defense Evasion
T1556.001,Domain Controller Authentication,persistence,Persistence
T1537,Transfer Data to Cloud Account,exfiltration,Exfiltration
T1027.006,HTML Smuggling,defense-evasion,Defense Evasion
T1556.005,Reversible Encryption,credential-access,Credential Access
T1556.005,Reversible Encryption,defense-evasion,Defense Evasion
T1556.005,Reversible Encryption,persistence,Persistence
T1027.010,Command Obfuscation,defense-evasion,Defense Evasion
T1022,Data Encrypted,exfiltration,Exfiltration
T1189,Drive-by Compromise,initial-access,Initial Access
T1498,Network Denial of Service,impact,Impact
T1651,Cloud Administration Command,execution,Execution
T1546.016,Installer Packages,privilege-escalation,Privilege Escalation
T1546.016,Installer Packages,persistence,Persistence
T1595.001,Scanning IP Blocks,reconnaissance,Reconnaissance
T1158,Hidden Files and Directories,defense-evasion,Defense Evasion
T1158,Hidden Files and Directories,persistence,Persistence
T1221,Template Injection,defense-evasion,Defense Evasion
T1037.004,RC Scripts,persistence,Persistence
T1037.004,RC Scripts,privilege-escalation,Privilege Escalation
T1134,Access Token Manipulation,defense-evasion,Defense Evasion
T1134,Access Token Manipulation,privilege-escalation,Privilege Escalation
T1111,Multi-Factor Authentication Interception,credential-access,Credential Access
T1071.001,Web Protocols,command-and-control,Command And Control
T1059.005,Visual Basic,execution,Execution
T1564.005,Hidden File System,defense-evasion,Defense Evasion
T1543.002,Systemd Service,privilege-escalation,Privilege Escalation
T1668,Exclusive Control,persistence,Persistence
T1563.002,RDP Hijacking,lateral-movement,Lateral Movement
T1136,Create Account,persistence,Persistence
T1547.013,XDG Autostart Entries,persistence,Persistence
T1547.013,XDG Autostart Entries,privilege-escalation,Privilege Escalation
T1672,Email Spoofing,defense-evasion,Defense Evasion
T1526,Cloud Service Discovery,discovery,Discovery
T1204.004,Malicious Copy and Paste,execution,Execution
T1151,Space after Filename,defense-evasion,Defense Evasion
T1151,Space after Filename,execution,Execution
T1018,Remote System Discovery,discovery,Discovery
T1046,Network Service Discovery,discovery,Discovery
T1590.001,Domain Properties,reconnaissance,Reconnaissance
T1518,Software Discovery,discovery,Discovery
T1538,Cloud Service Dashboard,discovery,Discovery
T1055.005,Thread Local Storage,defense-evasion,Defense Evasion
T1055.005,Thread Local Storage,privilege-escalation,Privilege Escalation
T1622,Debugger Evasion,defense-evasion,Defense Evasion
T1622,Debugger Evasion,discovery,Discovery
T1547.007,Re-opened Applications,privilege-escalation,Privilege Escalation
T1608.006,SEO Poisoning,resource-development,Resource Development
T1550.002,Pass the Hash,defense-evasion,Defense Evasion
T1052,Exfiltration Over Physical Medium,exfiltration,Exfiltration
T1574.002,DLL Side-Loading,persistence,Persistence
T1574.002,DLL Side-Loading,privilege-escalation,Privilege Escalation
T1105,Ingress Tool Transfer,command-and-control,Command And Control
T1216.002,SyncAppvPublishingServer,defense-evasion,Defense Evasion
T1098.002,Additional Email Delegate Permissions,persistence,Persistence
T1098.002,Additional Email Delegate Permissions,privilege-escalation,Privilege Escalation
T1648,Serverless Execution,execution,Execution
T1548.006,TCC Manipulation,defense-evasion,Defense Evasion
T1548.006,TCC Manipulation,privilege-escalation,Privilege Escalation
T1055.008,Ptrace System Calls,defense-evasion,Defense Evasion
T1055.008,Ptrace System Calls,privilege-escalation,Privilege Escalation
T1653,Power Settings,persistence,Persistence
T1027.007,Dynamic API Resolution,defense-evasion,Defense Evasion
T1037.001,Logon Script (Windows),persistence,Persistence
T1037.001,Logon Script (Windows),privilege-escalation,Privilege Escalation
T1055.015,ListPlanting,defense-evasion,Defense Evasion
T1055.015,ListPlanting,privilege-escalation,Privilege Escalation
T1665,Hide Infrastructure,command-and-control,Command And Control
T1484,Domain or Tenant Policy Modification,defense-evasion,Defense Evasion
T1484,Domain or Tenant Policy Modification,privilege-escalation,Privilege Escalation
T1220,XSL Script Processing,defense-evasion,Defense Evasion
T1596.005,Scan Databases,reconnaissance,Reconnaissance
T1578.001,Create Snapshot,defense-evasion,Defense Evasion
T1591.001,Determine Physical Locations,reconnaissance,Reconnaissance
T1137.002,Office Test,persistence,Persistence
T1587,Develop Capabilities,resource-development,Resource Development
T1003.003,NTDS,credential-access,Credential Access
T1602.001,SNMP (MIB Dump),collection,Collection
T1001.002,Steganography,command-and-control,Command And Control
T1204.001,Malicious Link,execution,Execution
T1547.008,LSASS Driver,privilege-escalation,Privilege Escalation
T1569.002,Service Execution,execution,Execution
T1078.004,Cloud Accounts,defense-evasion,Defense Evasion
T1078.004,Cloud Accounts,persistence,Persistence
T1078.004,Cloud Accounts,privilege-escalation,Privilege Escalation
T1078.004,Cloud Accounts,initial-access,Initial Access
T1480.001,Environmental Keying,defense-evasion,Defense Evasion
T1008,Fallback Channels,command-and-control,Command And Control
T1680,Local Storage Discovery,discovery,Discovery
T1564.004,NTFS File Attributes,defense-evasion,Defense Evasion
T1003.006,DCSync,credential-access,Credential Access
T1124,System Time Discovery,discovery,Discovery
T1053.002,At,execution,Execution
T1053.002,At,persistence,Persistence
T1053.002,At,privilege-escalation,Privilege Escalation
T1055.001,Dynamic-link Library Injection,defense-evasion,Defense Evasion
T1055.001,Dynamic-link Library Injection,privilege-escalation,Privilege Escalation
T1556,Modify Authentication Process,credential-access,Credential Access
T1556,Modify Authentication Process,defense-evasion,Defense Evasion
T1556,Modify Authentication Process,persistence,Persistence
T1546.017,Udev Rules,persistence,Persistence
T1546.017,Udev Rules,privilege-escalation,Privilege Escalation
T1056.004,Credential API Hooking,collection,Collection
T1056.004,Credential API Hooking,credential-access,Credential Access
T1495,Firmware Corruption,impact,Impact
T1490,Inhibit System Recovery,impact,Impact
T1546.007,Netsh Helper DLL,privilege-escalation,Privilege Escalation
T1090.001,Internal Proxy,command-and-control,Command And Control
T1216,System Script Proxy Execution,defense-evasion,Defense Evasion
T1094,Custom Command and Control Protocol,command-and-control,Command And Control
T1102.001,Dead Drop Resolver,command-and-control,Command And Control
T1118,InstallUtil,execution,Execution
T1001.001,Junk Data,command-and-control,Command And Control
T1598.001,Spearphishing Service,reconnaissance,Reconnaissance
T1043,Commonly Used Port,command-and-control,Command And Control
T1505.006,vSphere Installation Bundles,persistence,Persistence
T1552.007,Container API,credential-access,Credential Access
T1505.001,SQL Stored Procedures,persistence,Persistence
T1556.004,Network Device Authentication,credential-access,Credential Access
T1556.004,Network Device Authentication,defense-evasion,Defense Evasion
T1556.004,Network Device Authentication,persistence,Persistence
T1213.005,Messaging Applications,collection,Collection
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,Exfiltration
T1027.015,Compression,defense-evasion,Defense Evasion
T1574.004,Dylib Hijacking,defense-evasion,Defense Evasion
T1601.002,Downgrade System Image,defense-evasion,Defense Evasion
T1078.003,Local Accounts,defense-evasion,Defense Evasion
T1078.003,Local Accounts,persistence,Persistence
T1078.003,Local Accounts,privilege-escalation,Privilege Escalation
T1078.003,Local Accounts,initial-access,Initial Access
T1669,Wi-Fi Networks,initial-access,Initial Access
T1211,Exploitation for Defense Evasion,defense-evasion,Defense Evasion
T1127,Trusted Developer Utilities Proxy Execution,defense-evasion,Defense Evasion
T1529,System Shutdown/Reboot,impact,Impact
T1218.014,MMC,defense-evasion,Defense Evasion
T1564.010,Process Argument Spoofing,defense-evasion,Defense Evasion
T1077,Windows Admin Shares,lateral-movement,Lateral Movement
T1574.012,COR_PROFILER,persistence,Persistence
T1574.012,COR_PROFILER,privilege-escalation,Privilege Escalation
T1574.012,COR_PROFILER,defense-evasion,Defense Evasion
