technique_id_parent,technique_name_parent,tactic_ids,tactic_titles,n_rows_grouped,has_parent_row,member_technique_ids,member_technique_names,subtechnique_ids,subtechnique_names
T1211,Exploitation for Defense Evasion,defense-evasion,Defense Evasion,1,1,T1211,Exploitation for Defense Evasion,,
T1212,Exploitation for Credential Access,credential-access,Credential Access,1,1,T1212,Exploitation for Credential Access,,
T1213,Data from Information Repositories,collection,Collection,7,1,T1213.002 || T1213.006 || T1213.001 || T1213.004 || T1213.003 || T1213 || T1213.005,Sharepoint || Databases || Confluence || Customer Relationship Management Software || Code Repositories || Data from Information Repositories || Messaging Applications,T1213.002 || T1213.006 || T1213.001 || T1213.004 || T1213.003 || T1213.005,Sharepoint || Databases || Confluence || Customer Relationship Management Software || Code Repositories || Messaging Applications
T1214,Credentials in Registry,credential-access,Credential Access,1,1,T1214,Credentials in Registry,,
T1215,Kernel Modules and Extensions,persistence,Persistence,1,1,T1215,Kernel Modules and Extensions,,
T1216,System Script Proxy Execution,defense-evasion,Defense Evasion,3,1,T1216.001 || T1216.002 || T1216,PubPrn || SyncAppvPublishingServer || System Script Proxy Execution,T1216.001 || T1216.002,PubPrn || SyncAppvPublishingServer
T1217,Browser Information Discovery,discovery,Discovery,1,1,T1217,Browser Information Discovery,,
T1218,System Binary Proxy Execution,defense-evasion,Defense Evasion,13,1,T1218.011 || T1218.013 || T1218.004 || T1218.007 || T1218 || T1218.003 || T1218.002 || T1218.015 || T1218.008 || T1218.012 || T1218.005 || T1218.001 || T1218.014,Rundll32 || Mavinject || InstallUtil || Msiexec || System Binary Proxy Execution || CMSTP || Control Panel || Electron Applications || Odbcconf || Verclsid || Mshta || Compiled HTML File || MMC,T1218.011 || T1218.013 || T1218.004 || T1218.007 || T1218.003 || T1218.002 || T1218.015 || T1218.008 || T1218.012 || T1218.005 || T1218.001 || T1218.014,Rundll32 || Mavinject || InstallUtil || Msiexec || CMSTP || Control Panel || Electron Applications || Odbcconf || Verclsid || Mshta || Compiled HTML File || MMC
T1219,Remote Access Tools,command-and-control,Command And Control,4,1,T1219 || T1219.001 || T1219.003 || T1219.002,Remote Access Tools || IDE Tunneling || Remote Access Hardware || Remote Desktop Software,T1219.001 || T1219.003 || T1219.002,IDE Tunneling || Remote Access Hardware || Remote Desktop Software
T1220,XSL Script Processing,defense-evasion,Defense Evasion,1,1,T1220,XSL Script Processing,,
T1221,Template Injection,defense-evasion,Defense Evasion,1,1,T1221,Template Injection,,
T1222,File and Directory Permissions Modification,defense-evasion,Defense Evasion,3,1,T1222.002 || T1222.001 || T1222,Linux and Mac File and Directory Permissions Modification || Windows File and Directory Permissions Modification || File and Directory Permissions Modification,T1222.002 || T1222.001,Linux and Mac File and Directory Permissions Modification || Windows File and Directory Permissions Modification
T1223,Compiled HTML File,execution,Execution,1,1,T1223,Compiled HTML File,,
T1480,Execution Guardrails,defense-evasion,Defense Evasion,3,1,T1480.002 || T1480 || T1480.001,Mutual Exclusion || Execution Guardrails || Environmental Keying,T1480.002 || T1480.001,Mutual Exclusion || Environmental Keying
T1482,Domain Trust Discovery,discovery,Discovery,1,1,T1482,Domain Trust Discovery,,
T1484,Domain or Tenant Policy Modification,defense-evasion || privilege-escalation,Defense Evasion || Privilege Escalation,6,1,T1484.002 || T1484.001 || T1484,Trust Modification || Group Policy Modification || Domain or Tenant Policy Modification,T1484.002 || T1484.001,Trust Modification || Group Policy Modification
T1485,Data Destruction,impact,Impact,2,1,T1485.001 || T1485,Lifecycle-Triggered Deletion || Data Destruction,T1485.001,Lifecycle-Triggered Deletion
T1486,Data Encrypted for Impact,impact,Impact,1,1,T1486,Data Encrypted for Impact,,
T1488,Disk Content Wipe,impact,Impact,1,1,T1488,Disk Content Wipe,,
T1489,Service Stop,impact,Impact,1,1,T1489,Service Stop,,
T1490,Inhibit System Recovery,impact,Impact,1,1,T1490,Inhibit System Recovery,,
T1491,Defacement,impact,Impact,3,1,T1491.002 || T1491 || T1491.001,External Defacement || Defacement || Internal Defacement,T1491.002 || T1491.001,External Defacement || Internal Defacement
T1492,Stored Data Manipulation,impact,Impact,1,1,T1492,Stored Data Manipulation,,
T1493,Transmitted Data Manipulation,impact,Impact,1,1,T1493,Transmitted Data Manipulation,,
T1495,Firmware Corruption,impact,Impact,1,1,T1495,Firmware Corruption,,
T1496,Resource Hijacking,impact,Impact,5,1,T1496.003 || T1496.002 || T1496.004 || T1496.001 || T1496,SMS Pumping || Bandwidth Hijacking || Cloud Service Hijacking || Compute Hijacking || Resource Hijacking,T1496.003 || T1496.002 || T1496.004 || T1496.001,SMS Pumping || Bandwidth Hijacking || Cloud Service Hijacking || Compute Hijacking
T1497,Virtualization/Sandbox Evasion,defense-evasion || discovery,Defense Evasion || Discovery,8,1,T1497.001 || T1497.003 || T1497 || T1497.002,System Checks || Time Based Checks || Virtualization/Sandbox Evasion || User Activity Based Checks,T1497.001 || T1497.003 || T1497.002,System Checks || Time Based Checks || User Activity Based Checks
T1498,Network Denial of Service,impact,Impact,3,1,T1498.001 || T1498.002 || T1498,Direct Network Flood || Reflection Amplification || Network Denial of Service,T1498.001 || T1498.002,Direct Network Flood || Reflection Amplification
T1499,Endpoint Denial of Service,impact,Impact,5,1,T1499.001 || T1499.003 || T1499.004 || T1499.002 || T1499,OS Exhaustion Flood || Application Exhaustion Flood || Application or System Exploitation || Service Exhaustion Flood || Endpoint Denial of Service,T1499.001 || T1499.003 || T1499.004 || T1499.002,OS Exhaustion Flood || Application Exhaustion Flood || Application or System Exploitation || Service Exhaustion Flood
T1501,Systemd Service,persistence,Persistence,1,1,T1501,Systemd Service,,
T1503,Credentials from Web Browsers,credential-access,Credential Access,1,1,T1503,Credentials from Web Browsers,,
T1505,Server Software Component,persistence,Persistence,7,1,T1505.002 || T1505.005 || T1505.003 || T1505.004 || T1505 || T1505.006 || T1505.001,Transport Agent || Terminal Services DLL || Web Shell || IIS Components || Server Software Component || vSphere Installation Bundles || SQL Stored Procedures,T1505.002 || T1505.005 || T1505.003 || T1505.004 || T1505.006 || T1505.001,Transport Agent || Terminal Services DLL || Web Shell || IIS Components || vSphere Installation Bundles || SQL Stored Procedures
T1514,Elevated Execution with Prompt,privilege-escalation,Privilege Escalation,1,1,T1514,Elevated Execution with Prompt,,
T1518,Software Discovery,discovery,Discovery,2,1,T1518.002 || T1518,Backup Software Discovery || Software Discovery,T1518.002,Backup Software Discovery
T1525,Implant Internal Image,persistence,Persistence,1,1,T1525,Implant Internal Image,,
T1526,Cloud Service Discovery,discovery,Discovery,1,1,T1526,Cloud Service Discovery,,
T1527,Application Access Token,defense-evasion || lateral-movement,Defense Evasion || Lateral Movement,2,1,T1527,Application Access Token,,
T1528,Steal Application Access Token,credential-access,Credential Access,1,1,T1528,Steal Application Access Token,,
T1529,System Shutdown/Reboot,impact,Impact,1,1,T1529,System Shutdown/Reboot,,
T1530,Data from Cloud Storage,collection,Collection,1,1,T1530,Data from Cloud Storage,,
T1531,Account Access Removal,impact,Impact,1,1,T1531,Account Access Removal,,
T1534,Internal Spearphishing,lateral-movement,Lateral Movement,1,1,T1534,Internal Spearphishing,,
T1535,Unused/Unsupported Cloud Regions,defense-evasion,Defense Evasion,1,1,T1535,Unused/Unsupported Cloud Regions,,
T1537,Transfer Data to Cloud Account,exfiltration,Exfiltration,1,1,T1537,Transfer Data to Cloud Account,,
T1538,Cloud Service Dashboard,discovery,Discovery,1,1,T1538,Cloud Service Dashboard,,
T1539,Steal Web Session Cookie,credential-access,Credential Access,1,1,T1539,Steal Web Session Cookie,,
T1542,Pre-OS Boot,persistence || defense-evasion,Persistence || Defense Evasion,9,1,T1542.001 || T1542.003 || T1542.005 || T1542 || T1542.004,System Firmware || Bootkit || TFTP Boot || Pre-OS Boot || ROMMONkit,T1542.001 || T1542.003 || T1542.005 || T1542.004,System Firmware || Bootkit || TFTP Boot || ROMMONkit
T1543,Create or Modify System Process,persistence || privilege-escalation,Persistence || Privilege Escalation,11,1,T1543 || T1543.003 || T1543.004 || T1543.005 || T1543.001 || T1543.002,Create or Modify System Process || Windows Service || Launch Daemon || Container Service || Launch Agent || Systemd Service,T1543.003 || T1543.004 || T1543.005 || T1543.001 || T1543.002,Windows Service || Launch Daemon || Container Service || Launch Agent || Systemd Service
T1546,Event Triggered Execution,privilege-escalation || persistence,Privilege Escalation || Persistence,27,1,T1546.013 || T1546.006 || T1546.011 || T1546.005 || T1546.008 || T1546.003 || T1546.001 || T1546.014 || T1546 || T1546.004 || T1546.015 || T1546.018 || T1546.002 || T1546.016 || T1546.017 || T1546.007,PowerShell Profile || LC_LOAD_DYLIB Addition || Application Shimming || Trap || Accessibility Features || Windows Management Instrumentation Event Subscription || Change Default File Association || Emond || Event Triggered Execution || Unix Shell Configuration Modification || Component Object Model Hijacking || Python Startup Hooks || Screensaver || Installer Packages || Udev Rules || Netsh Helper DLL,T1546.013 || T1546.006 || T1546.011 || T1546.005 || T1546.008 || T1546.003 || T1546.001 || T1546.014 || T1546.004 || T1546.015 || T1546.018 || T1546.002 || T1546.016 || T1546.017 || T1546.007,PowerShell Profile || LC_LOAD_DYLIB Addition || Application Shimming || Trap || Accessibility Features || Windows Management Instrumentation Event Subscription || Change Default File Association || Emond || Unix Shell Configuration Modification || Component Object Model Hijacking || Python Startup Hooks || Screensaver || Installer Packages || Udev Rules || Netsh Helper DLL
T1547,Boot or Logon Autostart Execution,persistence || privilege-escalation,Persistence || Privilege Escalation,22,1,T1547 || T1547.014 || T1547.012 || T1547.009 || T1547.005 || T1547.003 || T1547.004 || T1547.015 || T1547.001 || T1547.006 || T1547.002 || T1547.013 || T1547.007 || T1547.008,Boot or Logon Autostart Execution || Active Setup || Print Processors || Shortcut Modification || Security Support Provider || Time Providers || Winlogon Helper DLL || Login Items || Registry Run Keys / Startup Folder || Kernel Modules and Extensions || Authentication Package || XDG Autostart Entries || Re-opened Applications || LSASS Driver,T1547.014 || T1547.012 || T1547.009 || T1547.005 || T1547.003 || T1547.004 || T1547.015 || T1547.001 || T1547.006 || T1547.002 || T1547.013 || T1547.007 || T1547.008,Active Setup || Print Processors || Shortcut Modification || Security Support Provider || Time Providers || Winlogon Helper DLL || Login Items || Registry Run Keys / Startup Folder || Kernel Modules and Extensions || Authentication Package || XDG Autostart Entries || Re-opened Applications || LSASS Driver
T1548,Abuse Elevation Control Mechanism,privilege-escalation || defense-evasion,Privilege Escalation || Defense Evasion,13,1,T1548.002 || T1548.003 || T1548 || T1548.001 || T1548.005 || T1548.004 || T1548.006,Bypass User Account Control || Sudo and Sudo Caching || Abuse Elevation Control Mechanism || Setuid and Setgid || Temporary Elevated Cloud Access || Elevated Execution with Prompt || TCC Manipulation,T1548.002 || T1548.003 || T1548.001 || T1548.005 || T1548.004 || T1548.006,Bypass User Account Control || Sudo and Sudo Caching || Setuid and Setgid || Temporary Elevated Cloud Access || Elevated Execution with Prompt || TCC Manipulation
T1550,Use Alternate Authentication Material,defense-evasion || lateral-movement,Defense Evasion || Lateral Movement,7,1,T1550 || T1550.003 || T1550.004 || T1550.002,Use Alternate Authentication Material || Pass the Ticket || Web Session Cookie || Pass the Hash,T1550.003 || T1550.004 || T1550.002,Pass the Ticket || Web Session Cookie || Pass the Hash
T1552,Unsecured Credentials,credential-access,Credential Access,7,1,T1552.005 || T1552 || T1552.003 || T1552.001 || T1552.006 || T1552.008 || T1552.007,Cloud Instance Metadata API || Unsecured Credentials || Shell History || Credentials In Files || Group Policy Preferences || Chat Messages || Container API,T1552.005 || T1552.003 || T1552.001 || T1552.006 || T1552.008 || T1552.007,Cloud Instance Metadata API || Shell History || Credentials In Files || Group Policy Preferences || Chat Messages || Container API
T1553,Subvert Trust Controls,defense-evasion,Defense Evasion,6,1,T1553.001 || T1553.003 || T1553.006 || T1553.005 || T1553 || T1553.004,Gatekeeper Bypass || SIP and Trust Provider Hijacking || Code Signing Policy Modification || Mark-of-the-Web Bypass || Subvert Trust Controls || Install Root Certificate,T1553.001 || T1553.003 || T1553.006 || T1553.005 || T1553.004,Gatekeeper Bypass || SIP and Trust Provider Hijacking || Code Signing Policy Modification || Mark-of-the-Web Bypass || Install Root Certificate
T1554,Compromise Host Software Binary,persistence,Persistence,1,1,T1554,Compromise Host Software Binary,,
T1555,Credentials from Password Stores,credential-access,Credential Access,6,1,T1555.002 || T1555.001 || T1555.005 || T1555 || T1555.006 || T1555.004,Securityd Memory || Keychain || Password Managers || Credentials from Password Stores || Cloud Secrets Management Stores || Windows Credential Manager,T1555.002 || T1555.001 || T1555.005 || T1555.006 || T1555.004,Securityd Memory || Keychain || Password Managers || Cloud Secrets Management Stores || Windows Credential Manager
T1556,Modify Authentication Process,credential-access || defense-evasion || persistence,Credential Access || Defense Evasion || Persistence,30,1,T1556.003 || T1556.002 || T1556.007 || T1556.008 || T1556.006 || T1556.009 || T1556.001 || T1556.005 || T1556 || T1556.004,Pluggable Authentication Modules || Password Filter DLL || Hybrid Identity || Network Provider DLL || Multi-Factor Authentication || Conditional Access Policies || Domain Controller Authentication || Reversible Encryption || Modify Authentication Process || Network Device Authentication,T1556.003 || T1556.002 || T1556.007 || T1556.008 || T1556.006 || T1556.009 || T1556.001 || T1556.005 || T1556.004,Pluggable Authentication Modules || Password Filter DLL || Hybrid Identity || Network Provider DLL || Multi-Factor Authentication || Conditional Access Policies || Domain Controller Authentication || Reversible Encryption || Network Device Authentication
T1557,Adversary-in-the-Middle,credential-access || collection,Credential Access || Collection,10,1,T1557 || T1557.004 || T1557.003 || T1557.001 || T1557.002,Adversary-in-the-Middle || Evil Twin || DHCP Spoofing || LLMNR/NBT-NS Poisoning and SMB Relay || ARP Cache Poisoning,T1557.004 || T1557.003 || T1557.001 || T1557.002,Evil Twin || DHCP Spoofing || LLMNR/NBT-NS Poisoning and SMB Relay || ARP Cache Poisoning
T1558,Steal or Forge Kerberos Tickets,credential-access,Credential Access,5,1,T1558.005 || T1558.004 || T1558 || T1558.001 || T1558.002,Ccache Files || AS-REP Roasting || Steal or Forge Kerberos Tickets || Golden Ticket || Silver Ticket,T1558.005 || T1558.004 || T1558.001 || T1558.002,Ccache Files || AS-REP Roasting || Golden Ticket || Silver Ticket
T1559,Inter-Process Communication,execution,Execution,4,1,T1559.002 || T1559.001 || T1559.003 || T1559,Dynamic Data Exchange || Component Object Model || XPC Services || Inter-Process Communication,T1559.002 || T1559.001 || T1559.003,Dynamic Data Exchange || Component Object Model || XPC Services
T1560,Archive Collected Data,collection,Collection,4,1,T1560.001 || T1560.003 || T1560.002 || T1560,Archive via Utility || Archive via Custom Method || Archive via Library || Archive Collected Data,T1560.001 || T1560.003 || T1560.002,Archive via Utility || Archive via Custom Method || Archive via Library
T1561,Disk Wipe,impact,Impact,2,1,T1561.002 || T1561,Disk Structure Wipe || Disk Wipe,T1561.002,Disk Structure Wipe
T1562,Impair Defenses,defense-evasion,Defense Evasion,12,1,T1562.009 || T1562 || T1562.002 || T1562.004 || T1562.012 || T1562.007 || T1562.010 || T1562.003 || T1562.013 || T1562.001 || T1562.011 || T1562.008,Safe Mode Boot || Impair Defenses || Disable Windows Event Logging || Disable or Modify System Firewall || Disable or Modify Linux Audit System || Disable or Modify Cloud Firewall || Downgrade Attack || Impair Command History Logging || Disable or Modify Network Device Firewall || Disable or Modify Tools || Spoof Security Alerting || Disable or Modify Cloud Logs,T1562.009 || T1562.002 || T1562.004 || T1562.012 || T1562.007 || T1562.010 || T1562.003 || T1562.013 || T1562.001 || T1562.011 || T1562.008,Safe Mode Boot || Disable Windows Event Logging || Disable or Modify System Firewall || Disable or Modify Linux Audit System || Disable or Modify Cloud Firewall || Downgrade Attack || Impair Command History Logging || Disable or Modify Network Device Firewall || Disable or Modify Tools || Spoof Security Alerting || Disable or Modify Cloud Logs
T1563,Remote Service Session Hijacking,lateral-movement,Lateral Movement,3,1,T1563.001 || T1563 || T1563.002,SSH Hijacking || Remote Service Session Hijacking || RDP Hijacking,T1563.001 || T1563.002,SSH Hijacking || RDP Hijacking
T1564,Hide Artifacts,defense-evasion,Defense Evasion,13,1,T1564.012 || T1564.008 || T1564 || T1564.011 || T1564.013 || T1564.014 || T1564.002 || T1564.009 || T1564.006 || T1564.007 || T1564.005 || T1564.004 || T1564.010,File/Path Exclusions || Email Hiding Rules || Hide Artifacts || Ignore Process Interrupts || Bind Mounts || Extended Attributes || Hidden Users || Resource Forking || Run Virtual Instance || VBA Stomping || Hidden File System || NTFS File Attributes || Process Argument Spoofing,T1564.012 || T1564.008 || T1564.011 || T1564.013 || T1564.014 || T1564.002 || T1564.009 || T1564.006 || T1564.007 || T1564.005 || T1564.004 || T1564.010,File/Path Exclusions || Email Hiding Rules || Ignore Process Interrupts || Bind Mounts || Extended Attributes || Hidden Users || Resource Forking || Run Virtual Instance || VBA Stomping || Hidden File System || NTFS File Attributes || Process Argument Spoofing
T1565,Data Manipulation,impact,Impact,2,1,T1565.003 || T1565,Runtime Data Manipulation || Data Manipulation,T1565.003,Runtime Data Manipulation
T1566,Phishing,initial-access,Initial Access,3,1,T1566.001 || T1566 || T1566.004,Spearphishing Attachment || Phishing || Spearphishing Voice,T1566.001 || T1566.004,Spearphishing Attachment || Spearphishing Voice
T1567,Exfiltration Over Web Service,exfiltration,Exfiltration,5,1,T1567 || T1567.004 || T1567.001 || T1567.003 || T1567.002,Exfiltration Over Web Service || Exfiltration Over Webhook || Exfiltration to Code Repository || Exfiltration to Text Storage Sites || Exfiltration to Cloud Storage,T1567.004 || T1567.001 || T1567.003 || T1567.002,Exfiltration Over Webhook || Exfiltration to Code Repository || Exfiltration to Text Storage Sites || Exfiltration to Cloud Storage
T1568,Dynamic Resolution,command-and-control,Command And Control,4,1,T1568.002 || T1568.001 || T1568 || T1568.003,Domain Generation Algorithms || Fast Flux DNS || Dynamic Resolution || DNS Calculation,T1568.002 || T1568.001 || T1568.003,Domain Generation Algorithms || Fast Flux DNS || DNS Calculation
T1569,System Services,execution,Execution,3,1,T1569.003 || T1569 || T1569.002,Systemctl || System Services || Service Execution,T1569.003 || T1569.002,Systemctl || Service Execution
T1570,Lateral Tool Transfer,lateral-movement,Lateral Movement,1,1,T1570,Lateral Tool Transfer,,
T1571,Non-Standard Port,command-and-control,Command And Control,1,1,T1571,Non-Standard Port,,
T1572,Protocol Tunneling,command-and-control,Command And Control,1,1,T1572,Protocol Tunneling,,
T1573,Encrypted Channel,command-and-control,Command And Control,3,1,T1573.001 || T1573 || T1573.002,Symmetric Cryptography || Encrypted Channel || Asymmetric Cryptography,T1573.001 || T1573.002,Symmetric Cryptography || Asymmetric Cryptography
T1574,Hijack Execution Flow,persistence || privilege-escalation || defense-evasion,Persistence || Privilege Escalation || Defense Evasion,39,1,T1574.007 || T1574.011 || T1574.001 || T1574.014 || T1574.008 || T1574.006 || T1574.005 || T1574.010 || T1574.013 || T1574 || T1574.009 || T1574.002 || T1574.004 || T1574.012,Path Interception by PATH Environment Variable || Services Registry Permissions Weakness || DLL || AppDomainManager || Path Interception by Search Order Hijacking || Dynamic Linker Hijacking || Executable Installer File Permissions Weakness || Services File Permissions Weakness || KernelCallbackTable || Hijack Execution Flow || Path Interception by Unquoted Path || DLL Side-Loading || Dylib Hijacking || COR_PROFILER,T1574.007 || T1574.011 || T1574.001 || T1574.014 || T1574.008 || T1574.006 || T1574.005 || T1574.010 || T1574.013 || T1574.009 || T1574.002 || T1574.004 || T1574.012,Path Interception by PATH Environment Variable || Services Registry Permissions Weakness || DLL || AppDomainManager || Path Interception by Search Order Hijacking || Dynamic Linker Hijacking || Executable Installer File Permissions Weakness || Services File Permissions Weakness || KernelCallbackTable || Path Interception by Unquoted Path || DLL Side-Loading || Dylib Hijacking || COR_PROFILER
T1578,Modify Cloud Compute Infrastructure,defense-evasion,Defense Evasion,6,1,T1578.004 || T1578 || T1578.003 || T1578.005 || T1578.002 || T1578.001,Revert Cloud Instance || Modify Cloud Compute Infrastructure || Delete Cloud Instance || Modify Cloud Compute Configurations || Create Cloud Instance || Create Snapshot,T1578.004 || T1578.003 || T1578.005 || T1578.002 || T1578.001,Revert Cloud Instance || Delete Cloud Instance || Modify Cloud Compute Configurations || Create Cloud Instance || Create Snapshot
T1580,Cloud Infrastructure Discovery,discovery,Discovery,1,1,T1580,Cloud Infrastructure Discovery,,
T1583,Acquire Infrastructure,resource-development,Resource Development,8,1,T1583 || T1583.007 || T1583.008 || T1583.002 || T1583.005 || T1583.001 || T1583.004 || T1583.006,Acquire Infrastructure || Serverless || Malvertising || DNS Server || Botnet || Domains || Server || Web Services,T1583.007 || T1583.008 || T1583.002 || T1583.005 || T1583.001 || T1583.004 || T1583.006,Serverless || Malvertising || DNS Server || Botnet || Domains || Server || Web Services
T1584,Compromise Infrastructure,resource-development,Resource Development,3,1,T1584.008 || T1584.003 || T1584,Network Devices || Virtual Private Server || Compromise Infrastructure,T1584.008 || T1584.003,Network Devices || Virtual Private Server
T1585,Establish Accounts,resource-development,Resource Development,1,1,T1585,Establish Accounts,,
T1586,Compromise Accounts,resource-development,Resource Development,4,1,T1586.001 || T1586.003 || T1586.002 || T1586,Social Media Accounts || Cloud Accounts || Email Accounts || Compromise Accounts,T1586.001 || T1586.003 || T1586.002,Social Media Accounts || Cloud Accounts || Email Accounts
T1587,Develop Capabilities,resource-development,Resource Development,4,1,T1587.001 || T1587.002 || T1587.004 || T1587,Malware || Code Signing Certificates || Exploits || Develop Capabilities,T1587.001 || T1587.002 || T1587.004,Malware || Code Signing Certificates || Exploits
T1588,Obtain Capabilities,resource-development,Resource Development,5,1,T1588.007 || T1588.004 || T1588.006 || T1588.002 || T1588,Artificial Intelligence || Digital Certificates || Vulnerabilities || Tool || Obtain Capabilities,T1588.007 || T1588.004 || T1588.006 || T1588.002,Artificial Intelligence || Digital Certificates || Vulnerabilities || Tool
T1589,Gather Victim Identity Information,reconnaissance,Reconnaissance,4,1,T1589 || T1589.002 || T1589.003 || T1589.001,Gather Victim Identity Information || Email Addresses || Employee Names || Credentials,T1589.002 || T1589.003 || T1589.001,Email Addresses || Employee Names || Credentials
T1590,Gather Victim Network Information,reconnaissance,Reconnaissance,7,1,T1590.005 || T1590.002 || T1590.004 || T1590.003 || T1590.006 || T1590 || T1590.001,IP Addresses || DNS || Network Topology || Network Trust Dependencies || Network Security Appliances || Gather Victim Network Information || Domain Properties,T1590.005 || T1590.002 || T1590.004 || T1590.003 || T1590.006 || T1590.001,IP Addresses || DNS || Network Topology || Network Trust Dependencies || Network Security Appliances || Domain Properties
T1591,Gather Victim Org Information,reconnaissance,Reconnaissance,5,1,T1591.003 || T1591.002 || T1591 || T1591.004 || T1591.001,Identify Business Tempo || Business Relationships || Gather Victim Org Information || Identify Roles || Determine Physical Locations,T1591.003 || T1591.002 || T1591.004 || T1591.001,Identify Business Tempo || Business Relationships || Identify Roles || Determine Physical Locations
T1592,Gather Victim Host Information,reconnaissance,Reconnaissance,5,1,T1592 || T1592.001 || T1592.004 || T1592.003 || T1592.002,Gather Victim Host Information || Hardware || Client Configurations || Firmware || Software,T1592.001 || T1592.004 || T1592.003 || T1592.002,Hardware || Client Configurations || Firmware || Software
T1593,Search Open Websites/Domains,reconnaissance,Reconnaissance,4,1,T1593.002 || T1593.003 || T1593 || T1593.001,Search Engines || Code Repositories || Search Open Websites/Domains || Social Media,T1593.002 || T1593.003 || T1593.001,Search Engines || Code Repositories || Social Media
T1594,Search Victim-Owned Websites,reconnaissance,Reconnaissance,1,1,T1594,Search Victim-Owned Websites,,
T1595,Active Scanning,reconnaissance,Reconnaissance,4,1,T1595.002 || T1595 || T1595.003 || T1595.001,Vulnerability Scanning || Active Scanning || Wordlist Scanning || Scanning IP Blocks,T1595.002 || T1595.003 || T1595.001,Vulnerability Scanning || Wordlist Scanning || Scanning IP Blocks
T1596,Search Open Technical Databases,reconnaissance,Reconnaissance,6,1,T1596.003 || T1596.002 || T1596.001 || T1596 || T1596.004 || T1596.005,Digital Certificates || WHOIS || DNS/Passive DNS || Search Open Technical Databases || CDNs || Scan Databases,T1596.003 || T1596.002 || T1596.001 || T1596.004 || T1596.005,Digital Certificates || WHOIS || DNS/Passive DNS || CDNs || Scan Databases
T1597,Search Closed Sources,reconnaissance,Reconnaissance,3,1,T1597.002 || T1597.001 || T1597,Purchase Technical Data || Threat Intel Vendors || Search Closed Sources,T1597.002 || T1597.001,Purchase Technical Data || Threat Intel Vendors
T1598,Phishing for Information,reconnaissance,Reconnaissance,5,1,T1598.003 || T1598.004 || T1598.002 || T1598 || T1598.001,Spearphishing Link || Spearphishing Voice || Spearphishing Attachment || Phishing for Information || Spearphishing Service,T1598.003 || T1598.004 || T1598.002 || T1598.001,Spearphishing Link || Spearphishing Voice || Spearphishing Attachment || Spearphishing Service
T1599,Network Boundary Bridging,defense-evasion,Defense Evasion,2,1,T1599.001 || T1599,Network Address Translation Traversal || Network Boundary Bridging,T1599.001,Network Address Translation Traversal
T1600,Weaken Encryption,defense-evasion,Defense Evasion,3,1,T1600 || T1600.001 || T1600.002,Weaken Encryption || Reduce Key Space || Disable Crypto Hardware,T1600.001 || T1600.002,Reduce Key Space || Disable Crypto Hardware
T1601,Modify System Image,defense-evasion,Defense Evasion,3,1,T1601 || T1601.001 || T1601.002,Modify System Image || Patch System Image || Downgrade System Image,T1601.001 || T1601.002,Patch System Image || Downgrade System Image
T1602,Data from Configuration Repository,collection,Collection,3,1,T1602 || T1602.002 || T1602.001,Data from Configuration Repository || Network Device Configuration Dump || SNMP (MIB Dump),T1602.002 || T1602.001,Network Device Configuration Dump || SNMP (MIB Dump)
T1606,Forge Web Credentials,credential-access,Credential Access,3,1,T1606.002 || T1606.001 || T1606,SAML Tokens || Web Cookies || Forge Web Credentials,T1606.002 || T1606.001,SAML Tokens || Web Cookies
T1608,Stage Capabilities,resource-development,Resource Development,7,1,T1608.004 || T1608.001 || T1608.002 || T1608 || T1608.005 || T1608.003 || T1608.006,Drive-by Target || Upload Malware || Upload Tool || Stage Capabilities || Link Target || Install Digital Certificate || SEO Poisoning,T1608.004 || T1608.001 || T1608.002 || T1608.005 || T1608.003 || T1608.006,Drive-by Target || Upload Malware || Upload Tool || Link Target || Install Digital Certificate || SEO Poisoning
T1609,Container Administration Command,execution,Execution,1,1,T1609,Container Administration Command,,
T1610,Deploy Container,defense-evasion || execution,Defense Evasion || Execution,2,1,T1610,Deploy Container,,
T1611,Escape to Host,privilege-escalation,Privilege Escalation,1,1,T1611,Escape to Host,,
T1612,Build Image on Host,defense-evasion,Defense Evasion,1,1,T1612,Build Image on Host,,
T1613,Container and Resource Discovery,discovery,Discovery,1,1,T1613,Container and Resource Discovery,,
T1614,System Location Discovery,discovery,Discovery,2,1,T1614.001 || T1614,System Language Discovery || System Location Discovery,T1614.001,System Language Discovery
T1615,Group Policy Discovery,discovery,Discovery,1,1,T1615,Group Policy Discovery,,
T1619,Cloud Storage Object Discovery,discovery,Discovery,1,1,T1619,Cloud Storage Object Discovery,,
T1620,Reflective Code Loading,defense-evasion,Defense Evasion,1,1,T1620,Reflective Code Loading,,
T1621,Multi-Factor Authentication Request Generation,credential-access,Credential Access,1,1,T1621,Multi-Factor Authentication Request Generation,,
T1622,Debugger Evasion,defense-evasion || discovery,Defense Evasion || Discovery,2,1,T1622,Debugger Evasion,,
T1647,Plist File Modification,defense-evasion,Defense Evasion,1,1,T1647,Plist File Modification,,
T1648,Serverless Execution,execution,Execution,1,1,T1648,Serverless Execution,,
T1649,Steal or Forge Authentication Certificates,credential-access,Credential Access,1,1,T1649,Steal or Forge Authentication Certificates,,
T1650,Acquire Access,resource-development,Resource Development,1,1,T1650,Acquire Access,,
T1651,Cloud Administration Command,execution,Execution,1,1,T1651,Cloud Administration Command,,
T1652,Device Driver Discovery,discovery,Discovery,1,1,T1652,Device Driver Discovery,,
